Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
609-1964-ND,FCI,10018783-10010TLF,,1,0,0,CONN PCI EXPRESS 36POS VERT PCB,,RoHS Compliant,Lead free,Unaffected Jun-2011
A112643-ND,TE CONNECTIVITY AMP,171826-4,,1,0,0,CONN HDR 4POS T/H R/A 2.5MM TIN,,RoHS Compliant,Lead free,Unaffected Aug-2011
AP1084T33L-UDI-ND,DIODES INC,AP1084T33L-U,,1,0,0,IC REG LDO 3.3V 5A TO220-3,,RoHS Compliant,Lead free,Unaffected Jun-2012
399-6601-ND,KEMET,ESK107M016AC3AA,,1,0,0,CAP ALUM 100UF 16V 20% RADIAL,,RoHS Compliant,Lead free,Unaffected Jun-2012
445-8441-ND,TDK CORPORATION,FK20X5R0J107M,,2,0,0,CAP CER 100UF 6.3V 20% RADIAL,,RoHS Compliant,Lead free,Not Available
609-4662-ND,FCI,10117835-002LF,,2,0,0,CONN USB 3.0 RCPT ST A R/A,,RoHS Compliant,Lead free,Not Available
